2022-09-26T14:43:02.631Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:27:08.820Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:28:27.939Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:28:49.372Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:29:35.759Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:29:36.491Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:29:38.069Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:31:03.187Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:32:06.889Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:38:24.694Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:38:25.498Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:38:31.352Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:40:21.565Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:43:15.877Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:43:53.414Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:08.711Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:09.458Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:10.073Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:10.439Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:10.603Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:10.755Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:44:10.907Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:46:35.056Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:47:06.212Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:48:48.226Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:52:53.686Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:53:08.934Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:53:10.889Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:54:18.310Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:54:21.368Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:43.199Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:46.039Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:46.636Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:46.964Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:47.129Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:47.272Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:47.449Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-26T23:59:47.579Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-27T00:00:28.414Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-27T00:01:26.638Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
2022-09-27T00:01:57.715Z [store-api] error POST  - Name, CPF, Phone, Email e Address são obrigatórios.
